ID,FECHA_UTC,HORA_UTC,LATITUD,LONGITUD,PROFUNDIDAD,MAGNITUD,FECHA_CORTE
192,19640403,134640,-8.7140000000000004,-78.879000000000005,83,5.2000000000000002,20223006
193,19640408,160109,-16.27,-73.400000000000006,100,4.5,20223006
194,19640409,215441,-18.379999999999999,-71.079999999999998,21,5.4000000000000004,20223006
195,19640410,060911,-14.369999999999999,-75.700000000000003,68,4.5999999999999996,20223006
196,19640419,194132,-13.787000000000001,-75.138000000000005,86,4.9000000000000004,20223006
197,19640425,114615,-15.69,-70.459999999999994,219,4.5,20223006
198,19640425,133607,-15.59,-69.5,268,4.5,20223006
199,19640428,193331,-17.300000000000001,-70.099999999999994,127,4.7000000000000002,20223006
200,19640429,040801,-3.4079999999999999,-78.088999999999999,26,4.9000000000000004,20223006
201,19640429,175948,-16.52,-72.200000000000003,88,4.9000000000000004,20223006
202,19640504,192541,-14.300000000000001,-75.799999999999997,14,4.9000000000000004,20223006
203,19640505,032655,-18.66,-72.760000000000005,28,5.2000000000000002,20223006
204,19640509,200635,-5.79,-82.549999999999997,19,4.9000000000000004,20223006
205,19640514,113016,-15.56,-70.859999999999999,185,4.5,20223006
206,19640518,041505,-12.15,-73.530000000000001,81,4.7999999999999998,20223006
207,19640523,164207,-16.300000000000001,-69.200000000000003,235,4.5999999999999996,20223006
208,19640528,124959,-13.404,-74.847999999999999,103,5.4000000000000004,20223006
209,19640531,195809,-9.4659999999999993,-79.739000000000004,40,4.7999999999999998,20223006
210,19640603,074931,-5.1900000000000004,-78.599999999999994,33,4.7000000000000002,20223006
211,19640604,114603,-9.7579999999999991,-76.305999999999997,121,5.7000000000000002,20223006
212,19640606,003252,-14.93,-72.099999999999994,108,4.5999999999999996,20223006
213,19640606,034427,-8.5099999999999998,-79.305000000000007,49,4.7999999999999998,20223006
214,19640609,153130,-4.7699999999999996,-77.900000000000006,40,4.9000000000000004,20223006
215,19640616,111525,-18,-71.700000000000003,80,4.5999999999999996,20223006
216,19640621,065448,-15.289999999999999,-73.412999999999997,95,5.2999999999999998,20223006
217,19640623,003012,-3.73,-78.099999999999994,53,5,20223006
218,19640701,224920,-14.31,-73.256,84,5.5999999999999996,20223006
219,19640702,090937,-11.5,-74.359999999999999,7,5,20223006
220,19640704,121346,-16.449999999999999,-72.530000000000001,81,5.7000000000000002,20223006
221,19640705,221459,-10.24,-75.109999999999999,135,5.2999999999999998,20223006
222,19640710,191644,-15.98,-71.599999999999994,136,5.2999999999999998,20223006
223,19640718,111317,-18.504999999999999,-71.391999999999996,44,5.0999999999999996,20223006
224,19640802,081405,-17.25,-69.629999999999995,5,4.7000000000000002,20223006
225,19640804,130622,-5.1399999999999997,-78.700000000000003,33,4.5999999999999996,20223006
226,19640810,073453,-16.763999999999999,-71.111000000000004,99,5.2000000000000002,20223006
227,19640813,163219,-6,-81.299999999999997,49,4.7000000000000002,20223006
228,19640818,002653,-7.3200000000000003,-74.510000000000005,156,5.5,20223006
229,19640819,140038,-6.9199999999999999,-75.260000000000005,15,4.9000000000000004,20223006
230,19640910,213632,-4.7969999999999997,-81.453999999999994,25,4.9000000000000004,20223006
231,19640917,074114,-15.779999999999999,-72.944999999999993,106,5.2999999999999998,20223006
232,19640919,172612,-5.9400000000000004,-81.685000000000002,10,5,20223006
233,19640921,132744,-8.3000000000000007,-74.900000000000006,125,5,20223006
234,19640929,184614,-8.5299999999999994,-74.290000000000006,159,4.5999999999999996,20223006
235,19640929,203152,-16.359999999999999,-69.349999999999994,139,4.5,20223006
236,19641002,204147,-9.0999999999999996,-79.686999999999998,32,5,20223006
237,19641003,124932,-10.749000000000001,-75.057000000000002,151,4.9000000000000004,20223006
238,19641006,181907,-13.1,-75.099999999999994,117,4.7000000000000002,20223006
239,19641011,141914,-18.001000000000001,-71.671000000000006,37,5.2999999999999998,20223006
240,19641013,235413,-13.57,-76.799999999999997,61,5,20223006
241,19641017,074533,-13.460000000000001,-72.599999999999994,44,4.9000000000000004,20223006
242,19641028,030708,-13.5,-72.670000000000002,54,4.9000000000000004,20223006
243,19641102,065101,-4.0110000000000001,-76.742000000000004,105,6,20223006
244,19641111,184856,-13.68,-75.340000000000003,81,5.2999999999999998,20223006
245,19641112,121337,-18.489999999999998,-70.420000000000002,91,5.0999999999999996,20223006
246,19641118,001202,-10.5,-75.700000000000003,94,4.7999999999999998,20223006
247,19641118,040401,-13.315,-75.265000000000001,94,4.7999999999999998,20223006
248,19641121,172425,-4.8700000000000001,-76.700000000000003,109,4.9000000000000004,20223006
249,19641128,164931,-7.9119999999999999,-71.367000000000004,640,5.5999999999999996,20223006
250,19641129,032455,-4.1200000000000001,-80.280000000000001,100,4.7999999999999998,20223006
251,19641206,031538,-15.529999999999999,-70.599999999999994,168,5,20223006
252,19641207,155553,-6.6130000000000004,-76.352000000000004,132,5.2000000000000002,20223006
253,19641215,162011,-7.1500000000000004,-76.769999999999996,33,5.2000000000000002,20223006
254,19641219,111805,-16.460000000000001,-72.870000000000005,108,4.7000000000000002,20223006
255,19641222,002449,-9.6150000000000002,-71.265000000000001,605,5.5,20223006
256,19650102,052510,-15.91,-71.040000000000006,69,4.9000000000000004,20223006
257,19650106,152633,-9.6869999999999994,-79.373000000000005,35,4.9000000000000004,20223006
258,19650107,115730,-3.1000000000000001,-76.700000000000003,30,4.9000000000000004,20223006
259,19650107,141722,-15.5,-70.890000000000001,0,4.7999999999999998,20223006
260,19650109,143514,-9.8000000000000007,-80,26,4.9000000000000004,20223006
261,19650110,034346,-3.3199999999999998,-81.400000000000006,22,5.2000000000000002,20223006
262,19650111,092739,-16.800000000000001,-74.900000000000006,33,4.7999999999999998,20223006
263,19650112,133651,-9.7469999999999999,-74.983000000000004,36,5.5999999999999996,20223006
264,19650114,082519,-5.6479999999999997,-81.366,32,5.7999999999999998,20223006
265,19650123,144826,-8.4000000000000004,-74.5,33,4.7000000000000002,20223006
266,19650125,223639,-9.4779999999999998,-74.474000000000004,115,4.7000000000000002,20223006
267,19650126,165415,-14.379,-75.757000000000005,57,4.7000000000000002,20223006
268,19650128,053500,-12.859999999999999,-78.579999999999998,16,5.2000000000000002,20223006
269,19650213,100524,-5.9000000000000004,-77.599999999999994,69,4.9000000000000004,20223006
270,19650218,223219,-10.068,-71.100999999999999,585,5.5,20223006
271,19650219,230150,-7.5199999999999996,-74.680000000000007,138,4.9000000000000004,20223006
272,19650220,211013,-18.454999999999998,-72.709999999999994,15,5.2999999999999998,20223006
273,19650309,025552,-13.52,-72.790000000000006,40,4.5999999999999996,20223006
274,19650311,145505,-18.27,-71.359999999999999,68,4.5,20223006
275,19650312,225446,-5.7990000000000004,-77.855999999999995,38,5.2999999999999998,20223006
276,19650315,050851,-17.5,-74.900000000000006,13,5.7999999999999998,20223006
277,19650324,111705,-18.457000000000001,-69.959999999999994,100,4.9000000000000004,20223006
278,19650328,053028,-15.276999999999999,-72.432000000000002,118,5,20223006
279,19650328,100001,-15.935,-74.159999999999997,68,5.5999999999999996,20223006
280,19650404,200943,-8.8300000000000001,-74.412999999999997,143,5.5,20223006
281,19650406,192150,-3.1459999999999999,-78.251999999999995,93,5.2999999999999998,20223006
282,19650408,000247,-8.327,-79.606999999999999,35,4.7000000000000002,20223006
283,19650415,020010,-5.7199999999999998,-75.599999999999994,33,4.9000000000000004,20223006
284,19650422,221405,-5.9969999999999999,-78.641999999999996,111,5,20223006
285,19650427,052447,-13.68,-75.896000000000001,78,5.2000000000000002,20223006
286,19650428,094212,-14.205,-76.155000000000001,70,4.7000000000000002,20223006
287,19650504,121041,-16.530000000000001,-73.329999999999998,78,4.9000000000000004,20223006
288,19650505,091358,-13.861000000000001,-75.861000000000004,89,5,20223006
289,19650508,222240,-13.699999999999999,-71.599999999999994,20,4.7999999999999998,20223006
290,19650509,195901,-2.7959999999999998,-77.233000000000004,112,5.2000000000000002,20223006
291,19650510,083521,-17.335000000000001,-70.691999999999993,107,4.9000000000000004,20223006
